district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Raigarh,B+,264,14.988636363636363,9.0,3957.0,3.787878787878788,32.95454545454545
Raigarh,B-,264,1.7765151515151516,2.0,469.0,22.727272727272727,77.27272727272727
Raigarh,O+,264,24.867424242424242,21.0,6565.0,3.787878787878788,11.363636363636363
Raigarh,O-,264,2.0643939393939394,1.0,545.0,28.78787878787879,63.25757575757576
Ratnagiri,A+,72,37.583333333333336,36.5,2706.0,0.0,0.0
Ratnagiri,A-,72,1.3333333333333333,0.0,96.0,54.166666666666664,45.83333333333333
Ratnagiri,AB+,72,19.97222222222222,14.0,1438.0,0.0,0.0
Ratnagiri,AB-,72,0.7638888888888888,1.0,55.0,33.33333333333333,66.66666666666666
Ratnagiri,B+,72,34.44444444444444,27.5,2480.0,0.0,0.0
Ratnagiri,B-,72,1.875,1.5,135.0,25.0,72.22222222222221
Ratnagiri,O+,72,63.166666666666664,49.0,4548.0,0.0,0.0
Ratnagiri,O-,72,2.0833333333333335,1.0,150.0,33.33333333333333,61.111111111111114
Sangli,A+,383,39.84334203655352,36.0,15260.0,6.266318537859007,3.91644908616188
Sangli,A-,383,1.3890339425587468,1.0,532.0,35.50913838120104,60.835509138381205
Sangli,AB+,383,9.54308093994778,9.0,3655.0,8.616187989556137,27.154046997389038
Sangli,AB-,383,1.0182767624020888,1.0,390.0,46.99738903394256,52.219321148825074
Sangli,B+,383,27.69190600522193,22.0,10606.0,7.5718015665796345,9.660574412532636
Sangli,B-,383,1.4699738903394255,1.0,563.0,31.853785900783286,64.22976501305483
Sangli,O+,383,53.78590078328982,42.0,20600.0,7.5718015665796345,1.8276762402088773
Sangli,O-,383,2.947780678851175,3.0,1129.0,31.070496083550914,46.47519582245431
Satara,A+,312,28.798076923076923,15.5,8985.0,28.846153846153843,6.089743589743589
Satara,A-,312,2.5641025641025643,2.0,800.0,37.82051282051282,48.3974358974359
Satara,AB+,312,10.025641025641026,6.0,3128.0,32.69230769230769,12.82051282051282
Satara,AB-,312,0.8589743589743589,0.0,268.0,57.692307692307686,41.98717948717949
Satara,B+,312,38.631410256410255,14.0,12053.0,28.525641025641026,8.333333333333332
Satara,B-,312,1.8525641025641026,1.0,578.0,43.269230769230774,44.55128205128205
Satara,O+,312,40.666666666666664,28.5,12688.0,28.846153846153843,2.8846153846153846
Satara,O-,312,2.269230769230769,1.0,708.0,35.256410256410255,50.641025641025635
Sindhudurg,A+,96,30.635416666666668,33.0,2941.0,25.0,0.0
Sindhudurg,A-,96,1.34375,0.0,129.0,57.291666666666664,37.5
Sindhudurg,AB+,96,2.96875,2.0,285.0,39.58333333333333,36.45833333333333
Sindhudurg,AB-,96,0.8333333333333334,0.0,80.0,76.04166666666666,23.958333333333336
Sindhudurg,B+,96,18.3125,15.0,1758.0,27.083333333333332,15.625
Sindhudurg,B-,96,1.8645833333333333,1.0,179.0,40.625,47.91666666666667
Sindhudurg,O+,96,23.0625,22.0,2214.0,25.0,0.0
Sindhudurg,O-,96,1.09375,0.0,105.0,67.70833333333334,29.166666666666668
Solapur,A+,529,34.8241965973535,20.0,18422.0,6.427221172022684,18.525519848771268
Solapur,A-,529,3.6389413988657844,2.0,1925.0,26.08695652173913,49.33837429111531
Solapur,AB+,529,18.483931947069944,10.0,9778.0,10.207939508506616,28.544423440453688
Solapur,AB-,529,1.2646502835538753,1.0,669.0,34.78260869565217,63.32703213610586
Solapur,B+,529,52.40264650283554,37.0,27721.0,3.0245746691871456,10.775047258979207
