requester_code,requester_name,district,city,blood_group,required_units,radius_km,alternative_count,best_distance_km,best_BBRI,best_score,alternative_available
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,A+,5,50,5,1.6840867106609902,14.765838096136694,93.48468729782336,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,A-,5,50,5,3.009527848003157,12.5169595297442,93.211441886187,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,B+,5,50,5,1.6840867106609902,14.765838096136694,93.48468729782336,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,B-,5,50,5,1.6840867106609902,14.765838096136694,93.48468729782336,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,O+,5,50,5,1.6840867106609902,14.765838096136694,93.48468729782336,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,O-,5,50,5,3.009527848003157,12.5169595297442,93.211441886187,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,AB+,5,50,5,1.6840867106609902,14.765838096136694,93.48468729782336,1
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Mumbai,AB-,5,50,1,5.168010843928437,13.62867945878348,91.09555351428304,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,A+,5,50,5,5.1715245812830375,5.77049848694194,93.84310586454389,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,A-,5,50,5,2.271414571620272,12.5169595297442,93.80193250729332,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,B+,5,50,5,5.1715245812830375,5.77049848694194,93.84310586454389,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,B-,5,50,5,5.1715245812830375,5.77049848694194,93.84310586454389,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,O+,5,50,5,5.1715245812830375,5.77049848694194,93.84310586454389,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,O-,5,50,5,5.1715245812830375,5.77049848694194,93.84310586454389,1
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mumbai,AB+,5,50,5,5.1715245812830375,5.77049848694194,93.84310586454389,1
