origin_code,origin_bank,origin_district,blood_group,origin_stock,alternative_code,alternative_bank,alternative_district,alternative_stock,predicted_stockout_probability,alternative_bbri,distance_km,decision_support_score,rank
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,Pune,42.0,0.002160025336828563,26.717587851051235,120.853406,43.850496,92
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280662,Mimer Medical College And Garware Blood Centre,Pune,14.0,0.009740460521972421,42.60930062761253,94.702764,43.728194,93
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18214,"Kakasaheb Chitle  Memorial Centre Sanchalit,  Jankalyan Blood Centre",Raigarh,47.0,0.002705286559735544,29.3838003247326,118.14683,43.70757,94
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18064,M/S Bharati Vidyapeeth Medical Foundations Bharati Hospital Blood Centre,Pune,10.0,0.012152818494653017,24.447706532486077,124.14785,43.339735,95
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18082,Rakesh Jain Memorial Blood Centre,Pune,26.0,0.004352958886026084,27.42729763779651,122.480402,43.298969,96
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18068,"Sadhu Vaswani Mission Medical Complex, Inlaks And Budharani Hospital Blood  Centre, Pune",Pune,15.0,0.005392757937019325,26.564302908679338,123.360329,43.233491,97
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,283459,"Azad Panchi Groups Sanchalit, Janseva Blood Centre, Hinjewadi Phase-1, Pune",Pune,23.0,0.0026835104907873067,40.70512933382407,106.756807,42.755775,98
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280142,"Maharashtra Bloodbank, Component And Apheresis Center",Palghar,12.0,0.013676664872971301,56.75348327154418,80.286829,42.705848,99
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280768,Sanjeevani Blood Centre Bhosari,Pune,23.0,0.0026835104907873067,36.141317998759476,116.260123,42.401428,100
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,282733,Rotary Blood Centre,Pune,23.0,0.009690446046722544,32.365007771092785,120.853406,42.369079,101
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18129,Chattrapati Shahu Maharaj Aadhar Blood Centre,Pune,23.0,0.003258613278209962,35.61269177499306,123.843036,41.481721,102
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,27120,Sasoon Blood Centre Pune,Pune,30.0,0.003183562170814511,39.67366043242962,121.118752,41.094942,103
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284350,Manipal Hospitals Pvt Ltd Blood Centre,Pune,16.0,0.031860973305457875,37.78053555659656,120.853406,40.67141,104
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18043,Poona Serological Institute Blood Centre,Pune,65.0,0.002554026337470735,46.472189030133244,122.231247,39.904143,105
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18071,Kem Hospital Blood Centre,Pune,3.0,0.059215406450780654,41.25634755659638,122.127328,39.010545,106
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18083,Smt Kashibai Navale General Hospital Blood Centre,Pune,77.0,0.09590106297728103,47.78558858372234,121.047583,37.568981,107
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18044,Bandra Holly Family Hospital Society Blood Centre,Mumbai,4.0,0.023793966010098883,9.8256994681207,9.463063,61.656085,1
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18031,"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,6.0,0.010678098828576836,17.498391285731433,9.835665,60.638671,2
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,4.0,0.023793966010098883,15.246926098877958,8.964137,60.638363,3
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18003,"Byl Nair Hospital, Blood Centre",Mumbai,3.0,0.058187454720451656,17.120658897929186,1.342903,60.30049,4
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,284016,"Dr. R.N.Cooper Hospital Blood Centre Vile Parle (W) Mumbai, ",Mumbai,6.0,0.0348625198709565,14.419171720814532,13.88165,60.11044,5
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,27154,"Sir, J.J. Group Hospital Blood Centre, Byculla Mumbai",Mumbai,4.0,0.02951074181208601,21.479116573751003,2.696184,60.084733,6
