blood_group,donor_code,donor_name,recipient_code,recipient_name,distance_km,donor_surplus,recipient_deficit,recommended_units,priority_score
O+,18034,"Seth V.C.Gandhi And M.A.Vora Municipal General Hospital, Rajawadi ,Ghatkopar",283795,Autus Blood Centre,117.92382043236147,17,5,5,0.04204372161793924
O+,280123,M/S Vidyashree Charitable Trusts Om Blood Centre,18009,Bombay Red Cross Blood Centre,117.92862395125955,170,5,5,0.0420420234749302
O+,18112,"Smbt Institute Of Medical Science And Research Centre, Blood Centre And  Component",281039,General Hospital Malegaon Blood Centre,117.96941395551626,66,5,5,0.0420276088934047
O+,27120,Sasoon Blood Centre Pune,18014,Bombay Hospital Trust Blood Centre,117.97139421492417,7,5,5,0.04202690935072511
O+,18043,Poona Serological Institute Blood Centre,18009,Bombay Red Cross Blood Centre,117.98700936049272,63,5,5,0.04202139398975558
O+,282599,Dean Datta Meghe Medical Collecge M.S.Dattatraya Blood Centre,18275,Shri Gajanan Blood Centre And Components,118.13946646765727,10,5,5,0.04196762121103965
O+,283609,Aiims Nagpur Blood Center,18275,Shri Gajanan Blood Centre And Components,118.1532811611825,53,5,5,0.04196275546316125
O+,27154,"Sir, J.J. Group Hospital Blood Centre, Byculla Mumbai",283795,Autus Blood Centre,118.16138027715087,8,5,5,0.041959903354348335
O+,18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,18275,Shri Gajanan Blood Centre And Components,118.19549916809791,12,5,5,0.04194789262091723
O+,18129,Chattrapati Shahu Maharaj Aadhar Blood Centre,18033,Bhabha Atomic Research Centre Hospital Blood Centre,118.1979949613362,135,5,5,0.04194701430692547
O+,18082,Rakesh Jain Memorial Blood Centre,18009,Bombay Red Cross Blood Centre,118.21610903313919,38,5,5,0.04194064074520434
O+,18065,"Deenanath Mangeshkar Hospital, Blood Centre",27107,TATA MEMORIAL CENTRE-ACTREC,118.21854697496184,57,5,5,0.04193978308635229
O+,27121,"Government Medical College And Hospital ,Blood Centre, Miraj",27109,District General Hospital Blood Bank Satara,118.33407451484052,127,5,5,0.04189918110420502
O+,18073,"Grant Medical Foundation,  A.H. Wadia Trust Blood Centre",18009,Bombay Red Cross Blood Centre,118.33482094041818,45,5,5,0.04189891902964696
O+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",18017,Masina Hospital Blood Centre,118.44384527277306,17,5,5,0.04186067510286139
O+,284350,Manipal Hospitals Pvt Ltd Blood Centre,18017,Masina Hospital Blood Centre,118.44384527277306,6,5,5,0.04186067510286139
O+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,18017,Masina Hospital Blood Centre,118.44384527277306,15,5,5,0.04186067510286139
O+,18084,Chakan Blood Centre,18017,Masina Hospital Blood Centre,118.44384527277306,57,5,5,0.04186067510286139
O+,282733,Rotary Blood Centre,18017,Masina Hospital Blood Centre,118.44384527277306,18,5,5,0.04186067510286139
O+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,18017,Masina Hospital Blood Centre,118.44384527277306,79,5,5,0.04186067510286139
O+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,18017,Masina Hospital Blood Centre,118.44384527277306,64,5,5,0.04186067510286139
O+,18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College  Hospital, Blood Bank",283795,Autus Blood Centre,118.44917222316595,38,5,5,0.04185880828590875
O+,18098,"Akshay Blood Centre, Miraj",27109,District General Hospital Blood Bank Satara,118.53439753844894,54,5,5,0.041828963904651136
O+,18058,Sion Blood Centre,283795,Autus Blood Centre,118.53442849077958,160,5,5,0.04182895307342922
O+,282612,Red Plus Blood Center Jalgaon,281039,General Hospital Malegaon Blood Centre,118.5443821505851,41,5,5,0.04182547025674287
O+,18214,"Kakasaheb Chitle  Memorial Centre Sanchalit,  Jankalyan Blood Centre",18005,Breach Candy Hospital Trust Blood Centre,118.55360096192865,25,5,5,0.041822245083125764
O+,280662,Mimer Medical College And Garware Blood Centre,18141,Ahmednagar Municipal Council Blood Centre,118.55387897826404,17,5,5,0.04182214782766726
O+,283459,"Azad Panchi Groups Sanchalit, Janseva Blood Centre, Hinjewadi Phase-1, Pune",18059,Bharatratna Dr Babasaheb Ambedkar Mun. Gen. Hospital Blood Centre,118.5539113149782,20,5,5,0.041822136515692394
O+,18064,M/S Bharati Vidyapeeth Medical Foundations Bharati Hospital Blood Centre,18033,Bhabha Atomic Research Centre Hospital Blood Centre,118.57013541789355,11,5,5,0.04181646179896987
O+,18030,K.J.Somaiya Medical College And Hospital Blood Centre,283795,Autus Blood Centre,118.5721678300765,9,5,5,0.041815751029164905
O+,18069,Jankalyan Raktapedhi Pune,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",118.59944990965167,299,5,5,0.04180621235111969
O+,27111,Shwas foundation kavathemahankal trust sanchalit maha blood centre and  comprehensive thalassemia day,27109,District General Hospital Blood Bank Satara,118.60543972378738,10,5,5,0.041804118705192884
O+,18124,Acharya Shree Tulsi Blood Centre,27109,District General Hospital Blood Bank Satara,118.61951906516681,42,5,5,0.04179919831709137
O+,284529,Spandan Blood Centre,27107,TATA MEMORIAL CENTRE-ACTREC,118.64895977433254,18,5,5,0.04178891324613601
O+,280123,M/S Vidyashree Charitable Trusts Om Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",118.69596701934462,170,5,5,0.04177250181864462
O+,280696,Shaswat Blood Centre Sangli,27109,District General Hospital Blood Bank Satara,118.69702526817312,37,5,5,0.04177213250536375
O+,18018,N.M Wadia Hospital Blood Centre Parel Mumbai,283795,Autus Blood Centre,118.70616115151968,23,5,5,0.04176894448792141
O+,27120,Sasoon Blood Centre Pune,18017,Masina Hospital Blood Centre,118.70917595406824,7,5,5,0.04176789256254235
O+,18043,Poona Serological Institute Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",118.749690779762,63,5,5,0.041753761261862164
O+,18069,Jankalyan Raktapedhi Pune,280738,Superitendent Gokuldas Tejpal Hospital,118.77067320120227,299,5,5,0.04174644649112492
