district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Latur,B+,219,10,455.64383561643837,48.0,0.45662100456621,12.32876712328767,1.8774422401654591,100.0,6.607142857142858,23.57142857142857,89.64285714285715,5.892857142857142,31.42857142857143,Lower
Latur,B-,219,10,22.337899543378995,2.0,21.91780821917808,50.2283105022831,1.9867257570194439,52.51082251082251,47.85714285714286,73.21428571428571,90.71428571428571,22.5,58.57142857142857,Moderate
Latur,O+,219,10,843.365296803653,79.0,1.36986301369863,5.47945205479452,2.431524370675238,33.33333333333333,8.571428571428571,10.0,94.64285714285714,51.78571428571429,41.25,Lower
Latur,O-,219,10,30.76255707762557,3.0,15.981735159817351,50.68493150684932,1.8037867750879568,48.05194805194805,35.0,74.28571428571429,88.57142857142857,32.5,57.589285714285715,Moderate
Mumbai,A+,1195,52,25.494560669456067,15.0,23.84937238493724,9.9581589958159,1.6081164092014162,28.91653320224749,50.0,18.928571428571427,81.07142857142857,58.214285714285715,52.05357142857143,Lower
Mumbai,A-,1195,52,1.5347280334728033,0.0,61.84100418410042,31.63179916317992,3.5606505310477328,15.169664077252817,91.78571428571428,52.5,97.14285714285714,80.0,80.35714285714286,Critical
Mumbai,AB+,1195,52,9.773221757322176,5.0,27.280334728033473,24.267782426778243,1.4186133154092218,40.505328005328,56.42857142857143,45.0,73.21428571428571,39.64285714285714,53.57142857142857,Moderate
Mumbai,AB-,1195,52,0.5297071129707113,0.0,74.39330543933055,25.606694560669457,2.0562300767505572,8.982280460524503,95.0,46.07142857142857,91.42857142857143,86.78571428571429,79.82142857142857,Critical
Mumbai,B+,1195,52,25.82510460251046,11.0,22.17573221757322,13.89121338912134,1.6943508281132291,28.371938518997343,48.214285714285715,28.57142857142857,85.0,59.64285714285714,55.357142857142854,Moderate
Mumbai,B-,1195,52,1.6343096234309624,0.0,54.30962343096234,36.73640167364017,1.6725835526813313,21.610805251030275,85.35714285714285,57.14285714285714,83.57142857142857,71.07142857142857,74.28571428571428,High
Mumbai,O+,1195,52,35.193305439330544,15.0,21.841004184100417,9.121338912133892,1.6376664140676735,38.90151515151515,47.5,15.714285714285714,81.78571428571428,41.42857142857143,46.60714285714286,Lower
Mumbai,O-,1195,52,2.407531380753138,0.0,52.38493723849372,32.38493723849372,1.7449695802470873,22.83049414628362,83.92857142857143,52.85714285714286,86.78571428571429,68.92857142857143,73.125,High
Nagpur,A+,432,18,18.38888888888889,12.0,16.203703703703702,21.296296296296298,1.0953547082203938,46.388888888888886,35.35714285714286,41.07142857142857,46.785714285714285,33.92857142857143,39.28571428571429,Lower
Nagpur,A-,432,18,0.9143518518518519,1.0,48.379629629629626,49.76851851851852,1.3939944898450332,30.47437617613056,81.07142857142857,71.78571428571429,71.42857142857143,57.14285714285714,70.35714285714286,High
Nagpur,AB+,432,18,11.564814814814815,5.5,17.59259259259259,32.407407407407405,1.9216941822742863,38.46153846153846,39.64285714285714,53.214285714285715,90.0,42.142857142857146,56.25,Moderate
Nagpur,AB-,432,18,1.0578703703703705,1.0,40.27777777777778,59.72222222222222,1.0205830964632336,44.12680456798104,73.21428571428571,85.71428571428571,37.142857142857146,37.5,58.39285714285714,Moderate
Nagpur,B+,432,18,33.03703703703704,18.0,13.194444444444445,18.98148148148148,1.1494489800031824,0.0,31.785714285714285,37.142857142857146,53.57142857142857,97.67857142857143,55.04464285714286,Moderate
Nagpur,B-,432,18,2.136574074074074,2.0,24.305555555555554,68.05555555555556,1.078762998334294,42.44708994708994,50.71428571428571,92.85714285714286,45.0,38.92857142857143,56.875,Moderate
Nagpur,O+,432,18,38.157407407407405,20.0,13.425925925925927,15.046296296296296,1.1453345872679508,31.25,32.5,30.714285714285715,52.85714285714286,56.607142857142854,43.16964285714286,Lower
Nagpur,O-,432,18,4.782407407407407,1.0,36.342592592592595,56.25,6.999344380655219,28.796296296296294,69.28571428571428,81.42857142857143,100.0,58.92857142857143,77.41071428571429,Critical
Nanded,A+,241,11,41.0746887966805,31.0,7.053941908713693,5.394190871369295,0.9543157508697567,77.27272727272728,23.214285714285715,9.642857142857144,28.214285714285715,12.857142857142856,18.482142857142858,Lower
Nanded,A-,241,11,2.3692946058091287,2.0,31.12033195020747,56.016597510373444,1.0889114634766397,26.785714285714285,61.42857142857143,80.71428571428572,46.07142857142857,61.42857142857143,62.41071428571429,Moderate
Nanded,AB+,241,11,17.269709543568464,10.0,6.224066390041494,21.57676348547718,1.2007954531233822,54.54545454545455,20.0,41.785714285714285,59.64285714285714,21.071428571428573,35.625,Lower
Nanded,AB-,241,11,0.5477178423236515,0.0,60.99585062240664,39.004149377593365,1.486239299158046,13.333333333333334,91.42857142857143,60.0,76.07142857142857,83.03571428571429,77.63392857142857,Critical
Nanded,B+,241,11,37.780082987551864,18.0,1.6597510373443984,20.74688796680498,1.1402103451128085,100.0,9.821428571428571,39.64285714285714,51.78571428571429,5.892857142857142,26.785714285714285,Lower
Nanded,B-,241,11,2.145228215767635,1.0,43.56846473029046,46.88796680497925,1.5871746896741636,37.26851851851851,78.57142857142857,68.57142857142857,79.28571428571428,44.285714285714285,67.67857142857143,Moderate
Nanded,O+,241,11,54.65145228215768,42.0,1.6597510373443984,9.12863070539419,0.9224023127259257,100.0,9.821428571428571,16.071428571428573,23.57142857142857,5.892857142857142,13.839285714285715,Lower
Nanded,O-,241,11,1.933609958506224,0.0,50.20746887966805,39.83402489626556,1.6021551778382443,22.107142857142854,82.85714285714286,61.78571428571429,80.35714285714286,70.71428571428572,73.92857142857144,High
Nandurbar,A+,72,3,403.56944444444446,20.0,11.11111111111111,13.88888888888889,1.3835947415214849,62.5,28.57142857142857,27.67857142857143,70.0,18.035714285714285,36.07142857142857,Lower
Nandurbar,A-,72,3,60.125,2.0,12.5,54.166666666666664,1.3851887777241705,22.22222222222222,30.53571428571429,77.85714285714286,70.35714285714286,69.46428571428571,62.05357142857143,Moderate
Nandurbar,AB+,72,3,122.40277777777777,10.0,1.3888888888888888,15.277777777777779,1.3357898510568138,100.0,8.928571428571429,31.428571428571427,68.21428571428572,5.892857142857142,28.61607142857143,Lower
Nandurbar,AB-,72,3,13.23611111111111,2.0,27.77777777777778,38.88888888888889,1.3017460489461632,0.0,57.49999999999999,59.464285714285715,67.14285714285714,97.67857142857143,70.44642857142857,High
Nandurbar,B+,72,3,1380.111111111111,38.0,0.0,13.88888888888889,1.4746523845686126,,3.214285714285714,27.67857142857143,75.0,5.892857142857142,27.94642857142857,Lower
Nandurbar,B-,72,3,22.208333333333332,6.0,2.7777777777777777,26.38888888888889,1.1844326858707048,100.0,13.750000000000002,47.5,57.14285714285714,5.892857142857142,31.07142857142857,Lower
Nandurbar,O+,72,3,626.5277777777778,59.0,2.7777777777777777,13.88888888888889,1.3421061195941042,100.0,13.750000000000002,27.67857142857143,68.57142857142857,5.892857142857142,28.973214285714285,Lower
Nandurbar,O-,72,3,63.513888888888886,14.0,6.944444444444445,25.0,1.2433794521987083,40.0,22.857142857142858,45.714285714285715,62.857142857142854,40.17857142857143,42.90178571428571,Lower
Nashik,A+,479,20,24.227557411273487,11.0,25.052192066805844,16.910229645093946,1.2618155703718519,31.875,53.214285714285715,33.92857142857143,64.28571428571429,55.35714285714286,51.69642857142858,Lower
Nashik,A-,479,20,2.3089770354906056,1.0,48.43423799582464,34.65553235908142,1.4466280512932568,34.56730769230769,81.42857142857143,55.00000000000001,73.57142857142858,48.214285714285715,64.55357142857143,Moderate
Nashik,AB+,479,20,11.993736951983298,5.0,30.062630480167012,21.50313152400835,1.2656253804104745,23.730158730158728,60.357142857142854,41.42857142857143,64.64285714285715,67.5,58.48214285714286,Moderate
Nashik,AB-,479,20,0.6471816283924844,0.0,62.21294363256785,37.578288100208766,1.6487437275975922,23.337510442773603,92.5,58.57142857142858,82.5,68.21428571428572,75.44642857142858,High
Nashik,B+,479,20,26.223382045929018,10.0,26.304801670146137,16.075156576200417,1.3615102307175349,38.5,54.64285714285714,32.857142857142854,69.28571428571428,41.785714285714285,49.64285714285714,Lower
Nashik,B-,479,20,1.8789144050104385,1.0,46.972860125260965,42.379958246346554,1.604052737657084,29.895182942057943,80.35714285714286,64.28571428571429,80.71428571428572,57.85714285714286,70.80357142857144,High
Nashik,O+,479,20,41.84342379958246,25.0,24.4258872651357,2.9227557411273484,1.1264259065380924,17.5,51.07142857142857,6.785714285714286,50.0,76.07142857142857,45.98214285714286,Lower
Nashik,O-,479,20,2.755741127348643,1.0,40.292275574112736,43.63256784968685,1.2577509918072427,20.762729334157907,73.57142857142858,65.0,63.57142857142857,71.42857142857143,68.39285714285715,Moderate
Osmanabad,A+,96,4,45.510416666666664,25.0,0.0,2.083333333333333,0.9032119868588033,,3.214285714285714,5.714285714285714,21.071428571428573,5.892857142857142,8.973214285714285,Lower
Osmanabad,A-,96,4,3.4895833333333335,1.5,15.625,52.083333333333336,1.0097806391413302,43.333333333333336,33.92857142857143,76.25,35.0,37.857142857142854,45.75892857142858,Lower
Osmanabad,AB+,96,4,20.5,9.0,12.5,27.083333333333332,1.1425729441826058,33.33333333333333,30.53571428571429,48.92857142857142,52.5,51.78571428571429,45.9375,Lower
Osmanabad,AB-,96,4,0.6875,1.0,43.75,56.25,1.035193385002347,33.33333333333333,78.92857142857143,81.42857142857143,38.57142857142858,51.78571428571429,62.67857142857143,Moderate
Osmanabad,B+,96,4,34.645833333333336,24.5,0.0,15.625,0.8993344518050039,,3.214285714285714,32.32142857142858,20.714285714285715,5.892857142857142,15.535714285714288,Lower
Osmanabad,B-,96,4,2.0416666666666665,1.0,22.916666666666664,71.875,0.9215364820306643,37.142857142857146,49.107142857142854,96.07142857142857,23.214285714285715,44.642857142857146,53.25892857142857,Lower
