hospital_code,blood_bank_name,district,degree,degree_centrality,betweenness_centrality,closeness_centrality
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,2,0.0060790273556231,0.0,0.0003206974411876935
284454,"Bhavar Blood Centre, Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,70,0.2127659574468085,0.0,0.011774238518003789
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,5,0.015197568389057751,0.0,0.0011384261872652436
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,74,0.22492401215805471,7.413447994662318e-05,0.012828098663130387
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,74,0.22492401215805471,1.8533619986655795e-05,0.013258565537850885
18267,Sau. Kantadevi Dale Blood Centre,Washim,3,0.00911854103343465,0.0,0.00033503621248454616
18146,Sanjeevani Blood Centre,Ahmadnagar,4,0.0121580547112462,0.0,0.0008817895600801044
18147,Anandrushiji Blood Centre,Ahmadnagar,9,0.02735562310030395,1.8533619986655795e-05,0.0008819053631854098
18026,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Sai Jeewan Blood Centre",Akola,3,0.00911854103343465,0.0,0.004315291535621012
18268,Arpan Blood Centre Blood Component And Apheresis Centre,Latur,8,0.0243161094224924,0.0,0.0009222761020716436
18027,M/S Beed Blood Centre,Beed,0,0.0,0.0,0.0
18149,Laksh Foundation New Arpan Voluntary Blood Centre Ahmednagar,Ahmadnagar,11,0.03343465045592705,0.0,0.0009905777135431322
18142,"Civil Surgeon, General Hospital, Blood Centre",Ahmadnagar,9,0.02735562310030395,0.0,0.0009054509619287756
18022,Sir H N Hospital And Research Centre Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.010314424847328791
18143,Dr. JondhaleS Nityaseva Blood Centre,Ahmadnagar,6,0.0182370820668693,0.0,0.0010063968701616037
18144,Ashtavinayak Blood Bank,Ahmadnagar,9,0.02735562310030395,0.0003521387797464601,0.000910815040913634
18265,"Nandkishor Education Society Trust, Arpan Voluntary Blood Centre",Nagpur,18,0.0547112462006079,0.0,0.002241557583678075
18023,Shushrusha Citizens Co-Op Hospital Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.012640491915665585
18266,"Adarsh Sanskaar Mandal Sanchalit, Dr. Hedgewar Rakta Pedhi, Blood Centre",Akola,18,0.0547112462006079,0.0,0.0022535056527875465
18024,Smt. Kapoorben Vasanji Lathiya Blood Centre,Mumbai,73,0.22188449848024316,0.0,0.013322869757597356
18145,"Rotary Blood Centre, Rahuri Charitable Trust",Ahmadnagar,12,0.0364741641337386,0.0026873748980650904,0.0010744434382120014
